WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,Brigantine,US,39.4101,-74.3646,64.06,91,100,11.5,overcast clouds
230,Codrington,AU,-38.2667,141.9667,53.56,91,100,16.08,overcast clouds
231,Kapuskasing,CA,49.4169,-82.4331,59.09,94,100,10.36,overcast clouds
232,Chokurdakh,RU,70.6333,147.9167,15.49,97,97,3.53,overcast clouds
233,Mapiripan,CO,2.8892,-72.1256,79.16,82,98,2.89,overcast clouds
234,Hofn,IS,64.2539,-15.2082,46.42,53,20,12.66,few clouds
235,Klyuchi,RU,52.2667,79.1667,46.76,62,87,7.65,overcast clouds
236,Mount Gambier,AU,-37.8333,140.7667,57.11,94,100,12.66,overcast clouds
237,Alice Springs,AU,-23.7,133.8833,69.35,60,75,6.91,broken clouds
238,Cidreira,BR,-30.1811,-50.2056,65.5,70,0,14.74,clear sky
239,Rennes,FR,48.1667,-1.6667,59.58,94,100,2.3,overcast clouds
240,Bud,US,39.447,-86.1758,73.85,36,41,2.8,scattered clouds
241,Tainan,TW,22.9908,120.2133,82.87,83,40,0.0,scattered clouds
242,Ceres,US,37.5949,-120.9577,78.8,63,0,3.44,clear sky
243,Lokosovo,RU,61.1333,74.8167,34.34,87,58,1.63,broken clouds
244,Esperance,AU,-33.8667,121.9,54.95,65,93,19.06,overcast clouds
245,Ranir Bazar,IN,23.8333,91.3667,75.88,95,87,2.71,light rain
246,Provideniya,RU,64.3833,-173.3,39.33,95,100,13.71,light rain
247,Namatanai,PG,-3.6667,152.4333,79.09,83,83,8.81,broken clouds
248,Arlit,NE,18.7369,7.3853,100.35,10,14,18.21,few clouds
249,Freetown,SL,8.484,-13.2299,83.91,84,75,6.91,light rain
250,Kathu,TH,7.9178,98.3332,84.69,99,100,7.78,overcast clouds
251,Fort Nelson,CA,58.8053,-122.7002,36.99,93,100,3.44,mist
252,Vanimo,PG,-2.6741,141.3028,78.3,90,95,6.49,light rain
253,Norman Wells,CA,65.282,-126.8329,30.24,93,20,2.3,few clouds
254,Sobradinho,BR,-12.8333,-39.1,89.17,39,13,10.04,few clouds
255,Moyale,KE,3.5167,39.0584,77.18,46,100,11.07,overcast clouds
256,Biryusinsk,RU,55.9634,97.8235,34.18,98,100,10.18,snow
257,Batagay,RU,67.6333,134.6333,14.86,96,94,1.59,overcast clouds
258,San Vicente,AR,-26.6167,-54.1333,80.8,49,23,6.69,light rain
259,Wynyard,AU,-41.0,145.7167,49.98,61,100,21.88,overcast clouds
260,Dosso,NE,13.049,3.1937,95.04,35,61,8.5,broken clouds
261,Talaya,RU,61.3833,152.75,12.65,96,100,4.94,overcast clouds
262,Suna,RU,57.8338,50.0588,44.37,85,100,10.18,overcast clouds
263,Baculin,PH,7.4525,126.5842,77.27,86,100,8.97,light rain
264,Luderitz,NA,-26.6481,15.1594,58.89,74,4,23.47,clear sky
265,Santa Fe,AR,-31.6333,-60.7,79.0,37,88,4.0,overcast clouds
266,Praia Da Vitoria,PT,38.7333,-27.0667,68.76,94,75,19.08,light intensity drizzle
267,Tuy Hoa,VN,13.0833,109.3,76.89,90,99,3.22,moderate rain
268,Bhandara,IN,21.1667,79.65,76.15,92,98,5.3,overcast clouds
269,Ugoofaaru,MV,5.6667,73.0,81.43,78,100,16.31,overcast clouds
270,Chicama,PE,-7.8447,-79.1469,59.54,56,32,10.31,scattered clouds
271,Fernandopolis,BR,-20.2839,-50.2464,92.66,31,0,6.44,clear sky
272,Tulun,RU,54.5611,100.5792,33.44,77,100,2.64,overcast clouds
273,Tiksi,RU,71.6872,128.8694,25.38,82,100,21.9,overcast clouds
274,Pachino,IT,36.7186,15.0907,70.9,60,25,7.87,scattered clouds
275,Rosarito,MX,32.3333,-117.0333,68.25,77,38,4.41,scattered clouds
276,Bambanglipuro,ID,-7.95,110.2833,77.22,83,100,7.43,overcast clouds
277,Pandan,PH,14.0453,124.1694,79.83,87,98,7.78,overcast clouds
